# solucao=Chandy-Misra
# tempo_total=13.01s
id	grau	tranquilo	com_sede	bebendo	bebidas
0	3	2.00	3.00	3.00	3
1	3	4.00	2.00	3.00	3
2	2	4.00	2.00	3.00	3
3	4	10.00	0.00	3.00	3
4	4	3.00	1.00	3.00	3
5	3	5.00	1.00	3.00	3
6	5	6.00	3.00	3.00	3
7	4	7.00	1.00	3.00	3
8	3	5.00	2.00	3.00	3
9	6	6.00	1.00	3.00	3
10	2	1.00	2.00	3.00	3
11	3	6.00	0.00	3.00	3
# espera media (com sede) por grau:
# grau=2 media=2.00s (n=2)
# grau=3 media=1.60s (n=5)
# grau=4 media=0.67s (n=3)
# grau=5 media=3.00s (n=1)
# grau=6 media=1.00s (n=1)
# starvation analysis:
#   max_wait=3.00s mean_wait=1.50s stddev=0.96s max/mean=2.00 cv=0.64
#   grau=2 media=2.00s max=2.00s max/media=1.00 (n=2)
#   grau=3 media=1.60s max=3.00s max/media=1.87 (n=5)
#   grau=4 media=0.67s max=1.00s max/media=1.50 (n=3)
#   grau=5 media=3.00s max=3.00s max/media=1.00 (n=1)
#   grau=6 media=1.00s max=1.00s max/media=1.00 (n=1)
#   resultado: nenhum filosofo com espera acima de 2x a media do grupo
